condition,color_type,length_m,height_cm,x1,x2,breed_category,pet_category
2.0,Brown Tabby,0.06,36.37,18,4,0,1
0.0,White,0.13,35.3,0,1,1,2
2.0,Brown Tabby,0.72,19.95,0,1,1,1
1.0,White,0.66,28.71,0,1,0,1
0.0,Tortie,0.87,18.75,0,1,1,1
1.0,Orange Tabby,0.21,28.19,0,1,0,1
0.0,Red,0.04,24.87,0,7,1,2
1.0,White,0.53,28.37,13,9,0,2
0.0,Black,0.22,31.63,13,9,1,1
1.0,Black,0.87,37.19,0,1,0,4
2.0,Tricolor,0.3,20.64,13,9,0,2
2.0,Brown Tabby,0.7,31.89,0,1,0,1
1.0,Brown Brindle,0.76,10.93,13,9,0,2
,White,0.32,6.34,0,7,2,2
0.0,Brown,0.45,30.3,0,1,1,2
0.0,Brown,0.99,39.65,0,1,1,2
0.0,Brown,0.69,18.13,13,9,1,2
0.0,Orange Tabby,0.39,27.18,16,9,1,1
1.0,Lynx Point,0.76,38.62,0,1,0,1
0.0,Black,0.64,23.18,0,7,1,2
0.0,Tortie,0.43,48.83,0,1,1,1
0.0,Tortie,0.14,11.08,0,1,1,1
0.0,Black,0.75,29.54,0,1,1,2
,Brown,0.98,38.73,0,3,2,4
2.0,White,0.29,27.73,13,9,1,1
,Gray,0.94,6.13,11,4,2,4
0.0,Blue,0.7,38.05,0,1,1,1
2.0,Orange Tabby,0.77,11.45,13,9,1,1
2.0,Brown Tabby,0.19,32.98,13,9,0,1
0.0,Torbie,0.68,40.45,7,1,1,1
0.0,Tan,0.94,14.32,0,1,1,2
0.0,Brown Tabby,0.21,8.81,0,1,1,1
2.0,Black,0.79,9.61,13,9,0,1
2.0,Black,0.37,41.89,13,9,1,2
1.0,Blue Tiger,0.8,13.67,0,1,0,2
2.0,Gold,0.64,27.82,13,9,0,2
0.0,White,0.95,36.32,0,1,1,2
1.0,Black,0.85,44.2,7,1,0,2
2.0,White,0.6,18.6,0,7,1,2
0.0,Tan,0.81,16.57,2,4,1,2
1.0,Gray,0.69,26.1,13,9,0,2
2.0,Black,0.35,32.16,0,7,0,2
0.0,Torbie,0.24,47.88,0,1,1,1
1.0,Orange Tabby,0.27,25.7,0,7,0,1
,Brown Tabby,0.03,32.37,13,9,2,1
0.0,Brown Tabby,0.95,42.98,0,7,1,1
1.0,Brown Tabby,0.16,6.66,0,1,0,1
1.0,Black,0.48,12.95,16,9,0,1
2.0,Tan,0.97,15.68,0,7,0,2
1.0,Black,0.47,10.31,0,7,0,2
2.0,Brown,0.05,27.0,0,7,1,2
1.0,Black,0.97,20.26,7,1,0,1
1.0,Orange Tabby,0.66,9.11,0,1,0,1
0.0,Calico,0.76,30.32,0,1,1,1
1.0,Black,0.08,8.58,0,1,0,1
2.0,Red,0.0,45.73,13,9,0,2
2.0,Orange Tabby,0.97,14.06,13,9,1,1
,Blue Tabby,0.11,33.86,13,9,2,1
0.0,Brown Tabby,0.26,19.83,0,1,1,1
0.0,Red,0.16,6.93,0,1,1,2
1.0,Black,0.44,36.81,0,1,0,1
2.0,Black,0.4,31.97,8,5,0,1
0.0,Tan,0.63,13.59,0,1,1,2
1.0,Black,0.6,12.3,13,9,0,1
1.0,Brown Tabby,0.49,12.2,16,9,0,1
2.0,Black,0.25,43.13,18,4,1,1
1.0,Blue Tabby,0.56,25.06,0,7,0,1
0.0,Black,0.93,22.0,0,1,1,1
1.0,Tan,0.69,15.61,0,1,0,2
1.0,White,0.72,9.84,0,7,0,2
2.0,Fawn,0.39,7.82,13,9,0,2
0.0,Cream Tabby,0.15,22.52,7,1,1,1
2.0,Black,0.56,27.6,18,4,1,1
0.0,Black,0.77,47.52,0,1,1,1
2.0,Black,0.41,14.64,13,9,0,1
0.0,Brown,0.26,7.06,13,9,1,2
0.0,Brown,0.33,31.02,0,1,1,2
0.0,Blue,0.03,30.72,0,7,1,2
,Gray,0.1,49.43,15,4,2,4
1.0,Black,0.38,14.77,0,1,0,2
1.0,Silver,0.53,26.39,0,7,0,2
1.0,Black,0.76,27.02,0,1,0,2
1.0,Buff,0.97,38.02,0,1,0,2
0.0,Red Merle,0.41,6.38,0,7,1,2
1.0,White,0.88,13.81,0,1,0,2
2.0,Tan,0.22,6.72,13,9,0,2
,Black,0.88,29.35,15,4,2,4
0.0,Buff,0.34,9.6,0,7,1,2
2.0,Brown Tabby,0.57,28.2,13,9,0,1
1.0,Cream,0.1,34.8,0,7,0,2
,Calico,0.52,21.94,13,9,2,1
2.0,White,0.59,17.64,0,7,0,2
2.0,Tan,0.06,27.34,13,9,1,2
2.0,Fawn,0.56,19.0,0,7,1,2
0.0,Chocolate,0.35,18.35,0,1,1,2
,Black,0.6,14.73,13,9,2,1
0.0,White,0.25,19.72,0,7,1,2
1.0,White,0.25,17.65,13,9,0,2
0.0,Brown Tabby,0.28,7.53,0,1,1,1
1.0,Black,0.77,27.82,0,7,0,2
0.0,Blue,0.25,6.11,0,1,1,1
0.0,Black,0.41,6.04,13,9,1,2
1.0,Black,0.23,48.88,0,1,0,2
0.0,Brown,0.89,41.98,0,1,1,2
,Black,0.7,11.34,18,4,2,1
0.0,Brown Tabby,0.49,45.05,7,1,1,1
0.0,Tortie Point,0.35,34.13,0,1,1,1
0.0,Calico,0.91,40.2,0,7,1,1
1.0,Tan,0.24,33.07,13,9,0,2
2.0,Orange Tabby,0.46,33.55,13,9,1,1
2.0,Torbie,0.48,15.17,13,9,1,1
2.0,Black,0.9,21.18,13,9,1,2
2.0,Tortie,0.07,12.36,13,9,1,1
0.0,Blue,0.15,21.38,0,1,1,2
1.0,Fawn,0.75,11.58,0,7,0,2
0.0,Brown Brindle,0.92,36.07,0,7,1,2
0.0,Tan,0.69,45.48,0,1,1,2
0.0,Black,0.3,20.83,0,1,1,2
,Brown,0.67,19.99,15,4,2,4
1.0,Blue,0.44,29.18,0,7,0,1
1.0,Black,0.16,41.1,0,7,0,2
0.0,Tortie,0.82,46.87,0,1,1,1
2.0,Black,0.16,23.11,13,9,1,2
,Buff,0.8,42.98,0,7,2,4
1.0,Brown Tabby,0.96,33.81,0,1,0,1
1.0,Brown,0.48,41.79,0,7,0,2
0.0,Black,0.02,27.21,0,1,1,2
0.0,Black,0.53,39.79,0,1,1,1
2.0,Black,0.13,18.43,13,9,0,1
0.0,Black,0.81,40.39,7,1,1,1
1.0,Black,0.95,27.83,0,1,0,2
0.0,Tan,0.97,23.51,13,9,1,2
1.0,Brown Tabby,0.94,6.21,7,1,0,1
2.0,Blue,0.25,25.56,0,7,1,2
,Black,0.87,26.05,13,9,2,1
2.0,Torbie,0.03,43.67,16,9,1,1
,Calico,0.58,5.36,13,9,2,1
2.0,Black,0.53,10.32,18,4,0,2
,White,0.03,36.21,13,9,2,1
1.0,Seal Point,0.77,38.69,16,9,0,1
0.0,Tan,0.86,34.0,0,1,1,2
0.0,Calico,0.45,40.66,0,1,1,1
1.0,Brown Tabby,0.94,35.94,7,1,0,1
2.0,Tan,0.78,45.95,0,7,1,2
1.0,Black,0.37,21.45,7,1,0,1
2.0,Black,0.42,23.78,13,9,0,1
1.0,White,0.09,20.52,0,1,0,2
1.0,Brown Brindle,0.21,16.71,0,1,0,2
1.0,Black,0.2,44.22,0,1,0,2
2.0,Brown,0.17,5.17,13,9,1,2
2.0,Brown,0.27,19.56,13,9,1,2
2.0,Brown Tabby,0.69,46.8,0,1,0,1
0.0,Brown,0.31,20.25,7,1,1,2
1.0,Red Tick,1.0,28.48,0,1,0,2
0.0,Fawn,0.25,6.35,0,7,1,2
0.0,Tan,0.76,17.77,0,1,1,2
1.0,Brown,0.83,24.14,0,1,0,2
0.0,Tan,0.58,39.44,0,1,1,2
0.0,White,0.2,34.31,13,9,1,1
0.0,White,0.2,40.22,13,9,1,2
1.0,Brown,0.51,26.36,0,1,0,2
2.0,Brown,0.3,33.3,0,7,0,2
,Brown Tabby,0.17,25.7,16,9,2,1
1.0,Cream Tabby,0.93,32.84,7,1,0,1
,Brown Tabby,0.86,31.81,13,9,2,1
0.0,Brown Brindle,0.69,13.05,0,7,1,2
1.0,Black,0.21,37.51,0,7,0,2
1.0,Black,0.06,47.15,0,7,0,1
0.0,Blue,0.61,12.83,7,1,1,1
,Cream Tabby,0.46,27.68,17,9,2,1
2.0,Brown,0.39,38.5,13,9,1,2
1.0,White,0.44,38.22,13,9,0,2
2.0,White,0.77,8.12,18,4,0,1
0.0,White,0.83,41.47,0,7,1,2
1.0,Tan,0.37,37.33,7,1,0,2
2.0,White,0.93,20.94,13,9,1,2
0.0,Torbie,0.7,28.45,0,1,1,1
2.0,Tricolor,0.73,26.99,0,7,0,2
1.0,Tan,0.64,15.83,0,1,0,2
2.0,Tortie,0.85,16.59,16,9,1,1
0.0,Brown Tabby,0.45,35.4,0,7,1,1
0.0,White,0.19,48.67,0,7,1,2
1.0,Black,0.33,17.12,0,1,0,1
0.0,White,0.74,26.27,0,1,1,2
0.0,Tan,0.4,19.91,7,1,1,2
,White,0.12,14.8,13,9,2,1
1.0,Black,0.2,23.36,0,1,0,2
1.0,Black,0.51,44.62,7,1,0,1
1.0,Black,0.19,14.34,0,7,0,2
0.0,Fawn,0.81,25.94,0,1,1,2
1.0,Black,0.62,27.69,13,9,0,1
,Brown,0.86,17.86,18,4,2,4
0.0,Yellow,0.93,24.58,0,7,1,2
1.0,Black,0.89,9.45,13,9,0,2
1.0,Black,0.02,28.81,10,2,0,1
0.0,Chocolate,0.02,22.46,0,1,1,2
2.0,Red,0.71,14.21,0,7,1,2
0.0,Black,0.48,29.41,0,1,1,2
1.0,Black,0.56,48.79,13,9,0,1
0.0,White,0.75,13.5,0,7,1,2
2.0,White,0.03,31.29,0,1,1,2
1.0,Red Tick,0.52,41.14,0,7,0,2
0.0,Tortie,0.45,44.23,7,1,1,1
1.0,Black,0.45,18.89,0,1,0,2
0.0,Tan,0.19,37.38,0,7,1,2
1.0,Black,0.7,10.68,7,1,0,1
2.0,White,0.26,26.51,13,9,1,4
1.0,White,0.53,11.68,0,7,0,2
1.0,Black,0.84,37.74,0,1,0,2
0.0,Black,0.97,34.11,0,1,1,2
0.0,Tan,0.08,39.54,13,9,1,2
1.0,Brown,0.1,34.78,0,1,0,2
1.0,Black,0.14,47.03,0,7,0,2
2.0,Brown Tabby,0.67,30.42,17,9,0,1
1.0,Black,0.4,43.58,0,7,0,2
1.0,Black Smoke,0.81,28.85,7,1,0,1
0.0,Tortie,0.25,41.44,7,1,1,1
,Brown,0.92,29.92,15,4,2,4
1.0,Tan,0.9,37.27,0,7,0,2
1.0,Black,0.71,10.94,0,1,0,2
,Calico,0.17,46.67,13,9,2,1
1.0,Tan,0.15,11.57,13,9,0,2
0.0,Brown,0.02,47.74,0,1,1,2
1.0,Fawn,0.99,11.94,7,1,0,2
2.0,White,0.04,25.12,0,7,0,2
0.0,Torbie,0.85,38.68,7,1,1,1
0.0,Fawn,0.1,26.35,0,1,1,2
0.0,White,0.96,6.12,0,1,1,1
,Black,0.69,40.78,17,9,2,1
2.0,Black,0.97,44.11,0,7,0,2
0.0,Tan,0.07,47.03,0,7,1,2
0.0,Apricot,0.66,44.63,13,9,1,2
0.0,White,0.58,35.78,0,7,1,2
1.0,White,0.96,48.12,13,9,0,2
1.0,White,0.52,48.22,0,1,0,2
2.0,Calico,0.58,7.09,13,9,1,1
0.0,Blue,0.21,18.01,13,9,1,2
0.0,Calico,0.38,31.26,7,1,1,1
1.0,Black,0.92,33.88,13,9,0,2
0.0,Tricolor,0.74,26.26,0,7,1,2
2.0,Brown Tabby,0.53,47.06,17,9,0,1
1.0,Orange Tabby,0.09,29.52,0,1,0,1
2.0,White,0.61,15.45,18,4,0,2
1.0,White,0.11,11.97,0,7,0,2
0.0,Black,0.55,25.23,0,1,1,2
2.0,Yellow,0.68,40.59,0,1,0,2
0.0,White,0.2,38.16,0,7,1,2
1.0,Black,0.84,28.37,0,1,0,2
0.0,Brown,0.28,16.5,7,1,1,2
0.0,Blue,0.44,44.89,0,1,1,2
1.0,White,0.48,10.06,0,1,0,1
0.0,Red,0.23,35.69,13,9,1,2
1.0,Tan,0.7,16.42,0,7,0,2
0.0,Tortie,0.79,34.72,0,1,1,1
1.0,Fawn,0.38,7.26,0,7,0,2
0.0,Blue,0.12,37.53,0,7,1,1
,Orange Tabby,0.65,37.9,13,9,2,1
0.0,Black,0.23,40.75,0,1,1,2
1.0,Black,0.55,19.44,0,1,0,1
0.0,Brown,0.25,34.54,0,7,1,2
0.0,Brown Brindle,0.03,36.77,0,1,1,2
0.0,Red,0.36,24.65,0,7,1,2
0.0,Tan,0.99,8.4,0,1,1,2
,Brown,0.18,33.37,15,4,2,4
0.0,Brown,0.35,17.43,0,1,1,2
0.0,White,0.8,43.5,0,1,1,2
2.0,Lynx Point,0.8,29.42,0,1,0,1
0.0,Brown,0.12,5.85,0,7,1,2
2.0,Brown Tabby,0.79,29.06,13,9,0,1
2.0,Red,0.77,36.78,0,1,0,2
1.0,Black,0.18,43.44,0,1,0,2
2.0,Black,0.49,36.47,13,9,0,2
1.0,White,0.84,5.15,7,1,0,2
1.0,Sable,0.92,38.58,0,7,0,2
0.0,Black,0.82,37.61,0,1,1,1
2.0,Black,0.66,10.62,18,4,1,2
0.0,Black,0.44,13.21,13,9,1,1
1.0,Brown,0.42,47.75,0,7,0,2
1.0,Blue,0.71,21.4,0,1,0,1
0.0,Black,0.44,18.51,7,1,1,1
0.0,Black,0.26,34.92,0,7,1,2
,Brown,0.85,13.41,0,4,2,4
1.0,Black,0.53,34.1,0,1,0,2
2.0,White,0.36,8.07,0,7,0,2
0.0,Black,0.79,40.85,0,1,1,2
,Black,0.59,22.29,13,9,2,2
,Brown Tabby,0.45,21.12,0,3,2,1
1.0,White,0.35,48.46,0,7,0,2
1.0,Black,0.87,38.5,13,9,0,2
0.0,Red,0.17,9.03,0,1,1,2
2.0,Buff,0.26,48.1,13,9,0,2
1.0,White,0.73,16.83,0,7,0,2
2.0,Buff,0.94,31.23,13,9,1,2
0.0,Tan,0.21,33.47,0,1,1,2
1.0,Orange,0.87,24.34,0,1,0,1
0.0,White,0.72,24.29,7,1,1,2
1.0,White,0.61,17.32,13,9,0,1
1.0,Sable,0.14,33.28,13,9,0,2
2.0,Blue Tabby,0.84,18.45,7,1,0,1
2.0,Brown,0.88,6.78,11,4,1,2
2.0,Blue,0.8,35.64,13,9,0,2
2.0,Black,0.12,7.09,9,2,1,1
0.0,Torbie,0.99,48.99,7,1,1,1
1.0,White,0.21,30.91,0,1,0,2
2.0,Red,0.01,22.87,0,7,0,2
1.0,Brown Tabby,0.28,42.58,7,1,0,1
1.0,Blue,0.26,28.67,13,9,0,1
1.0,Black,0.14,45.8,0,7,0,2
0.0,Black,0.75,27.92,7,1,1,2
0.0,Tan,0.95,39.91,13,9,1,2
2.0,Liver,0.02,34.68,13,9,0,2
1.0,Orange Tabby,0.86,49.4,0,7,0,1
2.0,Tan,0.07,6.09,13,9,0,2
0.0,Blue Tabby,0.75,41.1,0,1,1,1
0.0,White,0.53,30.08,0,1,1,2
2.0,Tan,0.0,19.18,0,7,1,2
2.0,Blue,0.21,46.63,13,9,0,1
0.0,Brown Tabby,0.69,18.17,0,1,1,1
2.0,Black,0.11,48.09,17,9,0,1
0.0,White,0.56,29.19,13,9,1,2
,Brown,0.82,15.16,15,4,2,4
2.0,Cream,0.76,45.61,0,7,0,2
1.0,Tan,0.93,31.2,13,9,0,2
1.0,Brown Tabby,0.88,44.2,13,9,0,1
0.0,Orange Tabby,0.14,46.69,16,9,1,1
0.0,Orange Tabby,0.75,20.29,0,1,1,1
0.0,Tortie,0.77,16.64,13,9,1,1
,Black Tabby,0.26,10.42,18,4,2,1
1.0,Brown,0.82,24.52,13,9,0,2
2.0,White,0.6,35.99,13,9,1,2
2.0,Black,0.85,18.44,0,7,0,2
0.0,Blue,0.72,5.34,0,1,1,1
0.0,Brown Tabby,0.69,47.19,0,1,1,1
2.0,Tan,0.16,12.87,13,9,1,2
1.0,White,0.12,48.4,13,9,0,2
0.0,Black,0.2,18.5,0,1,1,2
,Blue,0.89,46.31,0,2,2,0
1.0,Sable,0.38,42.75,13,9,0,2
1.0,Brown,0.76,26.16,0,1,0,2
2.0,Brown,0.33,42.79,0,7,0,2
1.0,Black,0.15,46.83,0,7,0,2
1.0,White,0.78,29.88,0,7,0,2
1.0,Blue,0.96,44.0,0,1,0,2
2.0,Calico,0.23,24.1,13,9,1,1
0.0,Brown,0.07,17.55,0,1,1,2
2.0,Black,0.55,31.72,0,1,0,2
1.0,Brown,0.25,47.32,0,1,0,2
0.0,Brown,0.72,47.11,0,7,1,2
2.0,Tortie,0.19,32.04,16,9,1,1
,Brown,0.98,20.51,15,4,2,4
1.0,Black,0.47,37.56,7,1,0,1
0.0,Black,0.51,42.94,0,7,1,2
2.0,Brown Tabby,0.32,9.4,18,4,1,1
2.0,Blue,0.54,24.2,0,1,0,1
0.0,Brown,0.7,41.77,13,9,1,2
2.0,Tan,0.3,12.67,0,7,0,2
0.0,Torbie,0.44,10.73,0,7,1,1
,Black,0.65,32.74,15,4,2,4
2.0,Brown Merle,0.06,42.78,13,9,0,2
2.0,Gold,0.38,21.39,13,9,1,2
1.0,Black,0.11,49.07,13,9,0,1
1.0,White,0.69,23.61,0,1,0,2
1.0,Black,0.84,17.0,0,1,0,1
2.0,Brown Tabby,0.08,23.77,0,1,0,1
0.0,Tricolor,0.93,42.08,0,1,1,2
1.0,White,0.33,19.92,0,7,0,2
,Yellow,0.27,36.69,0,1,2,0
1.0,Orange Tabby,0.5,12.81,0,1,0,1
1.0,White,0.55,20.06,0,1,0,2
1.0,White,0.05,8.91,0,7,0,2
0.0,Lynx Point,0.38,39.35,7,1,1,1
0.0,Tricolor,0.43,29.94,0,1,1,2
1.0,Cream Tabby,0.77,10.27,16,9,0,1
0.0,Tortie,0.55,39.18,13,9,1,1
1.0,Brown,0.38,44.77,0,7,0,2
1.0,White,0.44,44.03,13,9,0,2
2.0,Black,0.08,48.27,13,9,1,2
0.0,White,0.93,28.37,13,9,1,1
1.0,Orange Tabby,0.78,43.03,13,9,0,1
,Blue,0.76,8.07,19,4,2,1
0.0,Orange Tabby,0.56,28.48,0,1,1,1
2.0,Black,0.56,15.57,18,4,0,2
0.0,White,0.45,35.31,1,4,1,2
2.0,Black,0.26,8.24,7,1,1,2
0.0,Tricolor,0.09,32.24,0,7,1,2
0.0,Black,0.06,28.03,0,7,1,2
1.0,Brown,0.09,37.9,0,7,0,2
0.0,Blue,0.07,11.68,17,9,1,1
0.0,Yellow,0.76,21.0,13,9,1,2
2.0,Black,0.28,25.21,18,4,1,2
0.0,Black,0.77,35.42,0,7,1,2
2.0,Black,0.51,30.32,13,9,1,2
0.0,Black,0.37,21.75,0,7,1,2
1.0,Black,0.21,19.02,0,8,0,2
2.0,White,0.12,12.71,13,9,0,2
0.0,Black,0.07,26.57,11,4,1,2
0.0,Lynx Point,0.72,25.48,7,1,1,1
0.0,Lynx Point,0.8,49.51,0,1,1,1
1.0,Black,0.35,37.74,0,1,0,2
2.0,Brown Tabby,0.22,19.42,18,4,0,1
1.0,Brown Tabby,0.74,12.18,0,1,0,1
1.0,Blue,0.59,34.92,7,1,0,1
0.0,Chocolate,0.38,20.48,0,1,1,2
2.0,Tan,0.61,37.35,0,1,0,2
2.0,Black,0.59,18.39,0,1,1,1
1.0,Orange Tabby,0.15,31.52,0,1,0,1
2.0,White,0.27,30.03,0,7,0,2
1.0,Brown Tabby,0.12,45.15,13,9,0,1
1.0,Brown,0.2,20.52,0,1,0,2
1.0,Blue,0.08,13.81,0,1,0,1
0.0,Black,0.81,13.65,0,1,1,1
1.0,Red,0.23,32.16,0,1,0,2
1.0,Black,0.63,19.07,0,1,0,2
1.0,Black,0.59,41.54,13,9,0,1
1.0,Red,0.57,31.32,0,1,0,2
1.0,Blue Tabby,0.39,35.91,0,1,0,1
1.0,Black,0.85,24.48,0,7,0,2
0.0,Calico,0.21,24.07,7,1,1,1
1.0,Black,0.97,6.16,0,1,0,1
2.0,Seal Point,0.68,18.56,13,9,1,1
2.0,Chocolate,0.0,24.77,0,7,0,2
1.0,Black,0.34,28.74,0,1,0,2
2.0,Black,0.47,23.89,13,9,1,1
0.0,Fawn,0.84,27.15,0,1,1,2
,White,0.25,22.85,13,9,2,1
2.0,Brown,0.11,10.63,13,9,1,2
1.0,Brown Brindle,0.21,20.78,0,1,0,2
0.0,Blue,0.42,9.41,0,1,1,1
1.0,Flame Point,0.83,7.55,0,1,0,1
2.0,Orange Tabby,0.27,49.87,0,1,0,1
0.0,Black,0.47,10.6,0,1,1,2
0.0,Blue,0.14,22.54,0,1,1,2
1.0,Black,0.24,23.46,0,7,0,2
0.0,Tan,0.71,8.08,0,1,1,2
1.0,Black,0.54,35.23,0,7,0,2
2.0,Black,0.99,7.82,13,9,0,1
0.0,Blue,0.88,23.36,0,1,1,1
2.0,White,0.16,47.93,13,9,0,4
1.0,Lynx Point,0.02,34.1,0,1,0,1
0.0,Brown,0.89,16.93,0,1,1,2
0.0,Brown Tabby,0.02,35.9,7,1,1,1
0.0,Black,0.6,20.92,0,1,1,2
0.0,Black,0.88,43.6,0,1,1,2
,Brown,0.86,36.19,15,4,2,4
1.0,White,0.8,10.97,13,9,0,2
0.0,Tan,0.67,29.83,13,9,1,2
1.0,Tan,0.81,21.34,13,9,0,2
2.0,Blue Tabby,0.38,44.3,13,9,1,1
0.0,Brown Tabby,0.5,16.15,13,9,1,1
2.0,Tortie,0.55,28.33,13,9,1,1
0.0,Yellow,0.88,47.83,0,1,1,2
2.0,Cream Tabby,0.52,17.54,13,9,0,1
0.0,Red,0.85,27.88,0,7,1,2
,Brown,0.43,42.11,15,4,2,4
1.0,Red Merle,0.88,11.21,0,1,0,2
2.0,White,0.62,44.79,0,7,0,2
0.0,Tortie,0.62,16.0,7,1,1,1
2.0,Fawn,0.82,35.4,0,7,0,2
0.0,Black,0.73,27.65,13,9,1,1
1.0,Blue Tick,0.38,6.2,7,1,0,2
1.0,Black,0.12,16.63,0,1,0,2
1.0,White,0.13,28.62,0,7,0,2
1.0,White,0.96,41.07,13,9,0,2
1.0,Black,0.9,40.99,0,7,0,2
2.0,Orange Tabby,0.52,10.52,9,2,0,1
1.0,Brown Brindle,0.54,10.79,0,1,0,2
0.0,Blue Tabby,0.28,34.49,0,1,1,1
2.0,Brown,0.65,9.18,13,9,0,2
0.0,Brown,0.59,35.06,0,1,1,2
2.0,Calico,0.38,38.29,17,9,1,1
0.0,Black,0.35,43.18,7,1,1,1
1.0,Tricolor,0.41,32.54,0,7,0,2
1.0,Tan,0.27,29.11,0,7,0,2
,Lynx Point,0.93,19.36,13,9,2,1
1.0,Black,0.4,34.81,0,1,0,2
2.0,Chocolate,0.97,15.47,0,7,1,2
,Blue,0.69,10.13,13,9,2,1
0.0,Lynx Point,0.27,8.79,0,1,1,1
1.0,Black,0.29,44.85,0,1,0,2
0.0,Yellow,0.36,43.98,0,1,1,2
,Sable,0.07,15.87,15,4,2,4
0.0,Brown,0.21,5.35,13,9,1,2
0.0,Tortie,0.78,49.04,16,9,1,1
2.0,White,0.8,18.12,13,9,1,2
0.0,Brown Tabby,0.79,41.36,0,1,1,1
1.0,Sable,0.24,38.12,0,1,0,2
0.0,Brown Brindle,0.28,49.32,0,1,1,2
2.0,Tan,0.68,17.78,0,7,1,2
2.0,Blue Tabby,0.21,38.89,13,9,0,1
0.0,Lynx Point,0.23,38.77,0,1,1,1
,Brown Tabby,0.27,26.19,13,9,2,1
1.0,Brown,0.63,28.32,0,7,0,2
1.0,White,0.14,41.33,0,1,0,2
2.0,Chocolate Point,0.88,5.19,0,1,0,1
1.0,Brown Tabby,0.51,28.42,7,1,0,1
0.0,Tricolor,0.26,42.48,0,1,1,2
1.0,Black,0.01,32.52,0,1,0,2
1.0,Blue Merle,0.53,22.01,0,7,0,2
0.0,Calico,0.73,41.45,0,7,1,1
1.0,Brown,0.85,19.16,13,9,0,2
2.0,Tan,0.55,42.13,13,9,1,2
,Brown,0.61,17.86,0,3,2,4
2.0,Brown Tabby,0.51,31.96,16,9,0,1
0.0,Black,0.64,44.63,0,7,1,2
2.0,White,0.98,39.54,13,9,0,1
0.0,Black,0.8,18.22,7,1,1,1
2.0,Brown Tabby,0.86,16.82,13,9,0,1
0.0,Tortie,0.98,27.08,0,1,1,1
,Black,0.09,24.04,0,7,2,1
2.0,Liver,0.26,43.8,0,7,1,2
1.0,Brown Tabby,0.6,7.08,0,1,0,1
2.0,Black,0.43,30.16,13,9,1,2
1.0,Brown,0.85,7.16,0,1,0,2
0.0,Brown,0.6,15.3,0,1,1,2
,White,0.75,18.44,0,1,2,0
1.0,Blue,0.38,37.9,0,1,0,2
0.0,White,0.9,36.93,0,1,1,2
2.0,Blue,0.36,23.8,0,1,1,1
1.0,Black,0.94,43.78,0,1,0,2
0.0,Red,0.08,30.96,0,7,1,2
0.0,Black,0.49,14.79,13,9,1,2
1.0,Blue Tabby,0.96,43.13,13,9,0,1
0.0,Buff,0.26,12.42,0,1,1,2
2.0,Black,0.66,32.13,0,7,1,2
0.0,Tortie,0.16,28.0,0,1,1,1
2.0,Orange Tabby,0.9,12.98,18,4,1,1
1.0,Tan,0.93,39.15,13,9,0,2
1.0,Black,0.58,49.01,18,4,0,1
1.0,White,0.86,25.38,0,1,0,2
0.0,Black,0.91,10.11,13,9,1,1
0.0,Black,0.24,43.28,0,1,1,1
1.0,Black Smoke,0.72,43.23,0,1,0,1
0.0,Brown Brindle,0.82,25.04,7,1,1,2
0.0,Tan,0.72,20.3,0,1,1,2
2.0,Brown Tabby,0.36,16.67,13,9,0,1
2.0,Black,0.43,36.5,0,7,0,2
1.0,Black,0.64,5.47,13,9,0,2
1.0,Cream Tabby,0.68,11.69,7,1,0,1
2.0,Brown Tabby,0.3,24.03,13,9,0,1
1.0,Black,0.79,28.83,13,9,0,2
,Brown Tabby,0.31,11.42,16,9,2,1
1.0,Brown Tabby,0.22,46.42,7,1,0,1
1.0,Black,0.46,17.61,0,1,0,1
0.0,Tortie,0.93,39.96,2,4,1,1
1.0,Fawn,0.59,46.45,0,1,0,2
0.0,Black,0.18,47.3,13,9,1,2
,Brown,0.84,39.35,15,4,2,4
0.0,Tan,0.76,30.29,0,1,1,2
2.0,Brown Tabby,0.45,9.27,16,9,0,1
1.0,Red,0.66,16.7,0,7,0,2
1.0,Brown Tabby,0.24,22.0,13,9,0,1
0.0,Brown Tabby,0.91,42.91,0,7,1,1
1.0,Tan,0.16,40.84,0,1,0,2
1.0,Black,0.33,44.11,0,1,0,1
0.0,Black,0.17,9.3,0,1,1,2
1.0,White,0.7,44.36,13,9,0,2
0.0,Brown,0.5,49.86,0,1,1,2
,Brown,0.74,27.49,15,4,2,4
1.0,White,0.43,16.11,13,9,0,2
0.0,Tan,0.64,13.5,0,1,1,2
1.0,Tan,0.7,27.25,0,7,0,2
2.0,Brown,0.1,10.25,13,9,1,2
1.0,Brown Tabby,0.08,42.17,0,7,0,1
0.0,Brown Tabby,0.57,37.06,0,1,1,1
1.0,Brown Tabby,0.06,32.19,0,1,0,1
0.0,Black,0.45,18.33,7,1,1,1
0.0,Black,0.83,39.42,0,8,1,2
0.0,Black,0.04,47.14,0,1,1,1
1.0,Black,0.99,32.18,13,9,0,2
0.0,White,0.27,8.95,13,9,1,2
1.0,White,0.23,46.53,7,1,0,1
1.0,White,0.94,15.79,0,1,0,2
0.0,Blue,0.59,36.57,7,1,1,1
0.0,Black,0.41,45.71,0,1,1,1
1.0,Black,0.53,45.65,0,1,0,1
,Brown,0.14,14.18,15,4,2,4
1.0,Black,0.19,30.44,0,1,0,2
0.0,Brown Tabby,0.92,24.51,0,1,1,1
1.0,White,0.62,10.57,16,9,0,1
